Voxel size (nm): 
20	0

Voxel X		Voxel Y		Voxel Z		Dose (eV)    Dose (Gy)
-1  66  -1  11.2958  225.916
-1  68  -1  18.5662  371.324
-1  68  0  23.3607  467.213
0  68  -1  0.521543  10.4309
0  68  0  0.312452  6.24903
-1  71  -1  8.9937  179.874
0  71  -1  11.5604  231.208
-1  72  -1  23.5624  471.249
0  72  -1  45.8937  917.874
0  72  0  12.1  242
-1  73  -1  60.3067  1206.13
0  73  -1  16.029  320.581
0  73  0  12.1  242
-1  74  -1  9.8535  197.07
-1  74  0  37.6049  752.099
-1  76  -1  25.3711  507.422
-1  76  0  7.98032  159.606
-1  77  -1  20.762  415.24
-1  77  0  39.214  784.28
0  77  -1  17.1327  342.655
0  77  0  54.3298  1086.6
-1  81  0  12.8128  256.256
-1  82  -1  3.84348  76.8697
-1  82  0  21.0786  421.573
-1  85  -1  10.3245  206.49
0  85  -1  146.87  2937.41
0  85  0  8.76  175.2
0  90  0  34.4971  689.941
-1  93  0  18.3357  366.715
-1  94  -1  22.9422  458.844
0  94  -1  29.6978  593.957
0  96  -1  17.6399  352.798
-1  97  0  12.0534  241.069
-1  103  -1  10.7931  215.862
-1  105  0  28.2025  564.05
0  105  -1  28.2003  564.006
0  105  0  32.2  644
-1  106  -1  26.8114  536.229
-1  106  0  8.74113  174.823
0  106  -1  12.4303  248.607
0  106  0  32.4484  648.968
-1  111  -1  14.0092  280.184
-1  111  0  22.9461  458.922
-1  112  -1  7.36658  147.332
-1  113  -1  13.6918  273.837
0  113  -1  0.650422  13.0084
0  113  0  50.1525  1003.05
0  114  1  8.89599  177.92
-1  115  -1  11.949  238.98
-1  117  0  8.76  175.2
0  117  -1  19.4131  388.262
0  117  0  12.7781  255.562
-1  119  0  12.0386  240.772
-1  121  -1  14.1974  283.949
0  121  -1  0.489286  9.78571
0  121  0  8.76  175.2
-1  123  -1  17.0185  340.37
-1  123  0  21.0484  420.967
0  123  -1  19.9032  398.063
0  123  0  0.390191  7.80382
0  124  -1  51.3641  1027.28
-1  126  -1  14.4019  288.038
0  127  -1  20.7687  415.373
-1  129  -1  9.04278  180.856
-1  129  0  13.1147  262.294
0  129  -1  0.14388  2.87759
0  129  0  76.7758  1535.52
-1  130  -1  31.7843  635.686
-1  130  0  13.7746  275.493
0  130  0  15.6087  312.173
-1  131  -1  27.4919  549.837
0  131  -1  18.6509  373.018
0  137  -1  9.96363  199.273
-1  139  -1  9.23499  184.7
-1  139  0  0.204134  4.08269
0  139  -1  16.3976  327.952
0  139  0  0.143819  2.87638
0  140  0  16.3447  326.894
-1  141  0  10.4022  208.043
0  141  -1  8.86928  177.386
0  141  0  51.9064  1038.13
-1  142  -1  10.1845  203.691
-1  142  0  31.5799  631.598
0  142  -1  98.115  1962.3
0  142  0  45.0282  900.565
0  145  0  12.7531  255.063
-1  147  -1  20.0361  400.722
-1  149  -1  16.6633  333.265
-1  151  -1  15.2063  304.125
-1  151  0  41.8197  836.394
0  151  -1  1.87584  37.5168
0  151  0  12.2481  244.961
0  152  -1  14.0471  280.941
-1  153  -1  342.236  6844.73
-1  153  0  18.82  376.399
0  153  -1  78.3443  1566.89
0  153  0  32.2  644
-1  154  -1  12.8975  257.951
-1  155  -1  5.86593  117.319
-1  155  0  8.51348  170.27
0  155  -1  8.76  175.2
0  155  0  0.138363  2.76726
-1  156  -1  32.2  644
-1  156  0  15.6836  313.673
0  157  0  9.01459  180.292
0  161  -1  13.9958  279.916
-1  163  -1  12.3803  247.605
0  163  -1  9.85812  197.162
-1  164  0  13.2561  265.122
0  164  -1  17.1468  342.936
0  166  -1  9.12898  182.58
-1  167  -1  12.9994  259.988
-1  169  -1  0.19733  3.9466
-1  169  0  0.986811  19.7362
0  169  -1  0.113709  2.27418
0  169  0  12.1  242
-1  170  0  6.80697  136.139
0  170  -1  44.2326  884.652
0  170  0  46.6623  933.247
-1  171  -1  13.8633  277.267
-1  171  0  28.6567  573.133
0  171  -1  10.7445  214.889
0  171  0  215.695  4313.89
-1  173  -1  7.33296  146.659
-1  173  0  16.8446  336.891
0  174  -1  9.36188  187.238
-1  176  0  14.8227  296.454
0  176  -1  20.3933  407.866
0  176  0  11.3916  227.831
-1  178  -1  12.7591  255.182
0  178  -1  23.2529  465.059
-2  179  -1  20.4262  408.525
-1  182  -1  89.2938  1785.88
-1  182  0  23.9007  478.014
0  182  -1  6.93672  138.734
0  182  0  12.1  242
-1  185  -1  17.359  347.179
-1  186  -1  25.8992  517.985
0  186  0  32.2  644
0  188  -1  16.0394  320.788
-1  189  -1  13.7125  274.25
0  192  0  37.3771  747.543
-1  194  -1  23.095  461.9
-1  196  -1  31.9117  638.234
-1  196  0  0.22323  4.46461
0  196  -1  36.5218  730.437
0  196  0  41.0311  820.622
-1  198  0  56.6912  1133.82
0  198  -1  5.64929  112.986
0  198  0  56.0048  1120.1
-1  199  -1  0.635704  12.7141
-1  199  0  135.082  2701.65
0  199  -1  8.94661  178.932
0  199  0  37.6747  753.495
-1  202  -1  0.139728  2.79456
-1  202  0  7.06114  141.223
0  202  -1  15.2142  304.284
0  202  0  12.4531  249.062
-1  203  -1  187.954  3759.09
-1  203  0  43.1936  863.872
0  203  -1  22.9737  459.473
0  203  0  16.9202  338.403
-1  204  0  12.4008  248.015
-1  205  0  8.25443  165.089
0  205  0  12.1  242
-1  209  0  19.9696  399.392
0  210  -1  18.5637  371.274
-1  211  -1  12.7438  254.876
-1  211  0  15.6392  312.784
0  212  0  8.79317  175.863
-1  214  0  9.0449  180.898
0  217  -1  16.0209  320.417
-1  218  -1  23.8209  476.417
0  221  0  12.8937  257.874
-1  222  -1  0.480359  9.60718
-1  222  0  9.03904  180.781
-1  223  -1  12.1  242
0  224  0  16.9381  338.761
-1  228  -1  17.6894  353.788
0  228  -1  6.80433  136.087
0  228  0  20.5022  410.045
0  229  0  10.0336  200.673
-1  234  0  22.6471  452.942
0  234  -1  18.377  367.539
0  235  -1  17.7823  355.647
-1  237  0  34.9284  698.567
-1  240  -1  7.27989  145.598
0  240  -1  18.4796  369.591
0  240  0  17.5365  350.729
-1  243  0  15.3129  306.258
-1  247  0  17.784  355.679
0  251  -1  26.8908  537.817
0  251  0  76.7721  1535.44
-1  252  -1  8.97733  179.547
0  252  -1  8.88979  177.796
0  252  0  33.4477  668.953
-1  255  -1  19.1588  383.176
0  255  -1  2.3143  46.286
0  255  0  11.8509  237.018
-1  256  -1  39.3979  787.959
-1  256  0  13.6864  273.729
0  256  -1  53.1636  1063.27
0  256  0  12.1  242
-1  259  -1  19.6913  393.826
-1  259  0  35.6711  713.421
0  259  -1  0.11271  2.25419
0  259  0  16.3396  326.792
-1  263  -1  19.9716  399.432
-1  263  0  9.58299  191.66
0  263  -1  13.5113  270.226
0  263  0  30.4035  608.071
0  266  0  17.0378  340.755
0  267  0  27.947  558.941
-1  268  0  9.1587  183.174
0  268  0  11.0643  221.286
-1  269  -1  30.3159  606.318
0  270  -1  0.643927  12.8785
0  270  0  7.24654  144.931
0  271  -1  16.9333  338.666
-1  273  -1  0.219181  4.38361
-1  273  0  0.119665  2.3933
0  273  -1  17.1932  343.865
0  273  0  1.52642  30.5284
-1  274  -1  0.704595  14.0919
-1  274  0  7.07087  141.417
-1  276  -1  8.90414  178.083
0  276  -1  31.1903  623.805
0  276  0  32.2  644
-1  279  -1  0.528211  10.5642
-1  279  0  28.2643  565.286
-1  282  0  29.766  595.321
0  282  -1  11.2488  224.976
0  282  0  7.79933  155.987
-1  283  0  15.0058  300.116
0  283  0  11.2028  224.056
-1  285  0  8.76  175.2
0  285  0  14.6889  293.777
-1  287  -1  9.64755  192.951
0  292  -1  0.148101  2.96202
0  292  0  15.7863  315.727
-1  293  -1  40.5569  811.137
0  293  -1  0.255148  5.10296
-1  294  -1  8.76  175.2
-1  294  0  12.7791  255.582
0  294  0  16.815  336.3
-1  295  -1  31.7328  634.657
0  295  0  8.76  175.2
0  296  -1  10.2167  204.334
-1  300  -1  17.9354  358.708
0  300  0  55.6703  1113.41
-1  301  0  17.2219  344.438
-1  303  -1  0.18457  3.6914
-1  303  0  0.161387  3.22774
0  303  -1  19.9158  398.316
-1  304  -1  8.76  175.2
0  304  0  8.85602  177.12
-1  305  0  0.046947  0.938941
0  305  0  27.11  542.2
-1  307  -1  16.0659  321.317
-1  307  0  0.131443  2.62886
0  307  -1  14.9008  298.016
0  307  0  48.8107  976.214
-1  309  0  0.405818  8.11637
0  309  0  32.2  644
-1  310  -1  1.15865  23.1729
-1  310  0  12.8693  257.386
0  310  -1  7.06528  141.306
0  310  0  91.2509  1825.02
-1  313  -1  32.428  648.561
-1  314  -1  12.9136  258.273
-1  314  0  20.983  419.66
-1  315  -2  15.6042  312.085
-1  315  0  23.636  472.72
0  315  -1  44.6042  892.085
0  315  0  110.916  2218.32
-1  316  0  12.235  244.7
0  316  0  20.7063  414.127
0  317  -1  14.0472  280.944
-1  321  0  15.6637  313.275
0  321  0  24.1208  482.416
-1  324  0  140.607  2812.15
0  324  0  10.4484  208.969
-1  325  -1  37.7967  755.933
-1  325  0  272.341  5446.81
0  325  -1  7.85239  157.048
0  325  0  145.382  2907.65
-1  326  -1  8.36488  167.298
-1  326  0  19.5369  390.739
0  326  -1  8.76  175.2
0  326  0  21.0584  421.169
-1  327  -1  22.2957  445.913
0  328  -1  17.7369  354.739
0  328  0  46.6252  932.503
-1  332  0  16.5471  330.941
0  332  0  23.2235  464.471
-1  333  0  7.35524  147.105
0  333  -1  12.7105  254.21
-1  334  0  8.84232  176.846
0  335  -1  17.4387  348.773
-1  337  -1  10.347  206.94
-1  338  -1  9.71379  194.276
0  339  -1  8.98095  179.619
0  340  -1  17.9743  359.487
-1  343  -1  27.1405  542.81
0  343  -1  18.2389  364.778
-1  344  -1  33.0623  661.245
0  344  -1  21.4957  429.913
0  344  0  26.9721  539.442
0  345  0  26.7004  534.009
-1  346  -1  0.285495  5.7099
-1  346  0  0.844339  16.8868
0  346  -1  15.6922  313.844
0  346  0  0.155135  3.1027
-1  347  0  0.137457  2.74913
0  347  -1  0.64943  12.9886
0  347  0  1.00218  20.0435
0  350  0  9.39689  187.938
-1  353  -1  16.8  336
-1  353  0  7.34002  146.8
-1  355  0  35.8222  716.443
-1  357  -1  8.97511  179.502
-1  358  -1  9.71608  194.322
-1  360  -1  25.7288  514.576
0  361  0  20.8225  416.451
-1  364  -1  9.24533  184.907
0  364  -1  12.1  242
-1  365  -1  27.3329  546.657
-1  366  -1  35.5471  710.942
0  366  0  16.8  336
-1  367  -1  12.3637  247.274
-1  367  0  10.8926  217.852
0  367  0  15.0444  300.889
-1  368  -1  28.5373  570.746
-1  368  0  41.7705  835.409
0  368  -1  12.2515  245.031
0  368  0  24.034  480.68
-1  369  -1  19.5212  390.424
0  369  -1  12.4259  248.518
0  371  0  9.14681  182.936
-1  373  0  25.7336  514.672
-1  374  -1  13.3781  267.562
0  374  0  36.2661  725.321
-1  375  -1  9.25323  185.065
-1  375  0  29.4087  588.175
0  375  -1  0.138005  2.76011
0  375  0  0.220878  4.41756
-1  376  -1  14.8888  297.775
-1  379  0  10.9397  218.794
0  379  0  18.0761  361.522
-1  380  -1  0.223789  4.47579
-1  381  -1  232.005  4640.09
-1  381  0  65.1967  1303.93
0  381  0  8.76  175.2
-1  390  -1  14.4393  288.787
0  393  0  10.9418  218.835
0  394  -1  6.80713  136.143
-1  395  0  48.8542  977.085
0  395  -1  16.9838  339.675
0  396  -1  25.0833  501.665
-1  397  0  12.2468  244.936
0  397  -1  40.2625  805.25
0  397  0  15.6765  313.53
0  398  0  8.16238  163.248
-1  399  -1  34.9446  698.891
-1  400  0  19.904  398.081
0  400  -1  11.0251  220.502
0  401  -1  13.4543  269.086
0  401  0  21.3798  427.595
0  404  -1  10.8461  216.923
0  405  0  8.49767  169.953
0  406  -1  15.2362  304.724
0  407  -1  12.7955  255.911
0  407  0  22.3593  447.187
0  408  0  0.312114  6.24229
-1  409  0  21.0862  421.724
-1  411  -1  10.6992  213.983
-1  413  -1  8.76  175.2
0  413  -1  14.8649  297.297
0  414  -1  12.1897  243.794
0  414  0  97.2168  1944.34
-1  415  -1  25.9312  518.624
-1  415  0  8.76  175.2
0  415  -1  21.1357  422.714
0  415  0  8.32014  166.403
0  418  -1  29.7443  594.886
0  419  -1  0.0696908  1.39382
0  419  0  16.3177  326.353
0  421  -1  12.3949  247.897
0  423  0  9.1368  182.736
0  425  0  13.1152  262.305
0  427  -1  9.9969  199.938
0  428  0  27.7774  555.548
-1  429  0  19.9998  399.996
0  430  0  12.5209  250.418
-1  431  -1  12.1  242
-1  431  0  0.393693  7.87385
0  431  0  7.72484  154.497
0  432  -1  19.2023  384.046
-1  435  0  6.87151  137.43
0  435  -1  0.217203  4.34407
0  435  0  8.87509  177.502
-1  439  -1  6.85806  137.161
0  439  -1  25.0789  501.578
0  439  0  12.1185  242.371
-1  440  -1  52.2496  1044.99
0  440  -1  114.824  2296.49
0  440  0  12.1  242
0  443  0  14.9989  299.978
-1  446  -1  21.9225  438.449
-1  446  0  9.14095  182.819
0  446  0  8.77446  175.489
-1  447  -1  20.5304  410.608
0  448  -1  25.2305  504.61
0  448  0  49.362  987.24
-1  449  -1  11.3942  227.883
-1  449  0  12.1  242
0  451  -1  16.9087  338.174
0  451  0  19.9397  398.794
-1  452  -1  9.58883  191.777
0  453  -1  12.8711  257.422
0  453  0  16.0929  321.858
-1  454  -1  9.98331  199.666
-1  455  -1  21.7165  434.331
-1  455  0  0.156439  3.12879
0  455  -1  21.5958  431.917
0  455  0  53.0707  1061.41
0  457  -1  488.511  9770.22
0  457  0  17.2499  344.998
1  457  -1  103.924  2078.48
0  458  -2  37.6317  752.634
0  458  -1  108.038  2160.76
1  458  -2  148.85  2977
1  458  -1  18.6032  372.064
-1  459  -1  13.0028  260.055
-1  459  0  2.77408  55.4816
0  459  0  41.186  823.721
0  460  -1  23.5359  470.718
-1  461  0  22.9628  459.257
-1  462  0  8.76  175.2
0  462  0  11.8533  237.066
-1  466  0  20.0729  401.459
-1  468  0  11.2876  225.752
0  468  0  8.52226  170.445
-1  470  -1  7.96636  159.327
-1  470  0  10.5563  211.126
-1  471  -1  10.9629  219.258
0  472  -1  24.403  488.06
-1  473  0  20.4272  408.543
0  473  -1  12.6376  252.751
0  474  0  8.92888  178.578
-1  475  -1  12.4257  248.514
-1  475  0  12.1  242
0  475  -1  0.177096  3.54193
0  475  0  16.0113  320.227
-1  477  -1  19.4393  388.785
-1  478  -1  22.5629  451.258
0  478  -1  20.5838  411.676
-1  480  -1  13.0278  260.555
0  480  -1  24.1394  482.789
-1  481  -1  14.1765  283.53
-1  481  0  4.97832  99.5664
0  481  0  12.1  242
-1  483  0  13.7155  274.311
0  483  0  12.2317  244.634
0  484  -1  34.8843  697.686
0  484  0  0.425694  8.51388
-1  486  0  13.7472  274.944
-1  494  -1  10.8604  217.208
-1  495  -1  7.48414  149.683
-1  495  0  0.80831  16.1662
0  495  -1  8.99474  179.895
0  499  0  18.9454  378.908
-1  500  -1  16.9013  338.025
0  500  -1  0.456235  9.12469
0  500  0  10.3599  207.198
-1  504  0  0.24794  4.95881
0  504  -1  12.1651  243.303
0  504  0  11.3887  227.774
0  506  -1  13.9447  278.894
-1  507  -1  6.2236  124.472
-1  507  0  8.97243  179.449
0  507  -1  17.4443  348.886
0  507  0  16.3388  326.776
-1  508  -1  9.46847  189.369
0  508  -1  16.8  336
0  508  0  16.8  336
-1  515  -1  54.1824  1083.65
-1  515  0  12.7822  255.644
0  515  -1  9.43921  188.784
0  515  0  34.454  689.081
-1  519  0  12.8721  257.443
0  519  0  12.1  242
0  520  -1  11.2954  225.909
0  523  -1  22.2688  445.375
-1  525  -1  8.55141  171.028
-1  525  0  32.848  656.961
-1  526  -1  42.9895  859.79
-1  526  0  8.03467  160.693
0  526  -1  12.1  242
-1  527  0  17.7401  354.803
0  527  -1  8.38279  167.656
0  530  0  19.621  392.42
-1  532  0  18.5889  371.778
0  532  0  9.57867  191.573
-1  533  0  7.71377  154.275
0  533  0  51.5156  1030.31
-1  534  0  20.6956  413.911
2  534  0  11.0015  220.029
-1  535  0  42.8187  856.375
0  536  -1  8.86977  177.395
0  536  0  8.76  175.2
0  538  -1  20.1952  403.905
0  539  0  18.1548  363.095
0  541  0  16.1515  323.03
-1  542  0  23.318  466.359
0  542  0  0.0554484  1.10897
-1  543  -1  0.364867  7.29734
-1  543  0  8.79964  175.993
0  543  -1  6.93901  138.78
0  544  -1  12.8497  256.994
-1  549  -1  10.8262  216.524
-1  549  0  7.69613  153.923
0  549  0  32.2  644
-1  551  -1  13.2421  264.842
-1  552  -1  16.8  336
-1  552  0  0.894552  17.891
0  552  -1  14.0754  281.507
-1  553  -1  6.83531  136.706
-1  553  0  0.336657  6.73314
0  553  -1  97.8355  1956.71
0  553  0  73.7811  1475.62
0  554  -1  13.3771  267.542
0  555  0  14.6824  293.647
0  556  0  18.0197  360.393
-1  557  -1  63.1276  1262.55
-1  557  0  367.698  7353.96
0  557  -1  24.383  487.659
0  557  0  59.4197  1188.39
-1  558  -1  6.96173  139.235
-1  558  0  1.5734  31.468
0  558  0  8.34973  166.995
0  562  -1  19.247  384.941
0  562  0  0.177607  3.55214
0  563  0  10.9366  218.731
0  565  -1  19.5333  390.666
2  566  3  11.4968  229.935
0  567  0  21.12  422.401
-1  568  0  10.5301  210.601
0  568  -1  19.7828  395.655
-1  569  0  18.3813  367.627
-1  570  -1  17.611  352.221
-1  570  0  9.69361  193.872
0  570  -1  9.03708  180.742
0  570  0  57.8146  1156.29
0  574  -1  15.9817  319.634
-1  577  0  0.397176  7.94353
-1  578  -1  21.9602  439.204
-1  578  0  45.4858  909.716
0  578  -1  11.2934  225.867
0  578  0  22.8507  457.015
-1  579  0  20.4821  409.643
-1  580  0  12.2279  244.557
-1  581  -1  23.0164  460.327
-1  582  -1  43.1803  863.606
-1  582  0  21.3202  426.404
0  582  -1  0.106569  2.13139
0  582  0  23.5348  470.696
-1  583  -1  8.04985  160.997
0  583  -1  51.6977  1033.95
0  583  0  132.056  2641.13
0  584  0  7.05375  141.075
-1  585  0  8.76  175.2
0  585  -1  0.01  0.2
0  585  0  0.0980507  1.96101
-1  586  -1  13.3817  267.633
0  586  -1  7.19023  143.805
0  586  0  0.0656535  1.31307
-1  587  0  17.8131  356.262
0  587  0  8.90683  178.137
0  589  0  24.1991  483.981
-1  591  -1  13.8457  276.914
0  591  -1  12.5264  250.528
0  592  -1  18.635  372.7
-1  594  0  17.4878  349.755
0  601  -1  24.9602  499.205
-1  602  -1  8.56603  171.321
-1  602  0  0.594495  11.8899
0  602  0  9.2468  184.936
0  603  -1  9.50996  190.199
0  603  0  8.97368  179.474
0  604  0  12.6916  253.832
-1  606  0  15.3417  306.835
-1  607  -1  13.4395  268.791
-1  607  0  20.2922  405.845
0  607  -1  147.721  2954.43
0  607  0  43.465  869.3
0  608  -1  10.7603  215.205
-1  609  0  13.5287  270.573
0  609  0  41.2812  825.624
-1  610  0  11.7747  235.494
-1  614  -1  24.6793  493.586
-1  614  0  12.8989  257.978
-1  615  -1  36.6189  732.378
-1  618  -1  10.7046  214.091
-1  618  0  17.4167  348.334
-1  619  0  0.05967  1.1934
0  619  0  50.1911  1003.82
-1  625  -1  26.2722  525.443
-1  625  0  27.8158  556.316
0  625  0  32.2  644
0  626  -1  19.688  393.76
-1  628  -1  31.987  639.741
-1  628  0  33.036  660.721
-1  629  -1  12.8508  257.016
-1  635  -1  9.10195  182.039
-1  635  0  16.6775  333.55
-1  636  0  35.4  708
0  636  0  28.7356  574.713
-1  640  -1  17.7407  354.814
-1  640  0  22.1956  443.912
0  640  -1  6.82351  136.47
-2  642  0  13.5885  271.77
-1  642  -1  8.76  175.2
-1  642  0  0.731601  14.632
0  642  -1  0.220935  4.41871
0  642  0  7.62369  152.474
0  643  -1  37.4275  748.55
0  645  -1  13.5219  270.439
0  645  0  9.82383  196.477
-1  646  -1  8.97488  179.498
-1  646  0  33.9399  678.798
0  646  -1  0.268296  5.36592
0  646  0  0.473842  9.47685
-1  648  -1  25.3145  506.29
-1  648  0  2.17995  43.599
-1  653  0  16.8  336
0  653  0  54.0151  1080.3
-1  657  0  9.55693  191.139
-1  658  -1  17.0527  341.054
-1  658  0  8.92608  178.522
0  658  0  9.62359  192.472
0  659  -1  11.9936  239.872
0  659  0  8.76  175.2
-1  661  -1  25.9833  519.666
-1  661  0  0.141186  2.82373
-1  662  -1  293.459  5869.18
-1  662  0  9.79254  195.851
0  662  -1  256.955  5139.09
-1  663  -1  45.7754  915.509
-1  663  0  31.0253  620.506
0  663  -1  286.288  5725.75
0  663  0  53.5859  1071.72
0  666  -1  9.96869  199.374
0  666  0  8.11941  162.388
-1  667  -1  9.10049  182.01
-1  667  0  7.26038  145.208
-1  670  0  15.6107  312.214
0  671  0  9.50533  190.107
-1  675  0  27.0886  541.771
0  675  0  16.7789  335.577
-1  676  -1  14.6462  292.924
0  677  -1  38.4772  769.544
0  677  0  32.2  644
-1  680  -1  40.1187  802.374
-1  683  -1  6.81328  136.266
0  683  -1  9.13721  182.744
0  683  0  18.5323  370.646
-1  687  -1  40.9245  818.489
0  687  -1  28.2439  564.878
0  690  0  21.3954  427.908
0  692  -1  16.0812  321.624
0  692  0  16.8  336
0  694  -1  10.2662  205.324
-1  695  -1  14.5507  291.015
-1  695  0  16.2956  325.912
0  695  -1  20.4638  409.277
0  695  0  12.7027  254.053
0  697  0  16.8747  337.494
-1  700  -1  22.4636  449.273
-1  700  0  6.80446  136.089
0  700  -1  10.78  215.6
0  700  0  31.0567  621.134
-1  701  -1  26.125  522.5
0  701  -1  17.9259  358.517
0  701  0  12.1  242
0  702  -1  47.9537  959.073
-1  704  -1  0.665505  13.3101
-1  704  0  9.06231  181.246
0  704  0  32.2  644
0  705  0  13.275  265.501
-1  706  -1  9.87268  197.454
-1  708  -1  28.8169  576.338
1  709  -3  12.5596  251.193
-1  710  -3  20.6844  413.688
0  710  -3  193.874  3877.48
0  710  -2  123.606  2472.13
0  710  -1  7.34692  146.938
1  710  -2  240.968  4819.35
1  710  -1  167.826  3356.51
-1  711  -3  142.475  2849.49
-1  711  -1  12.1  242
0  711  -3  402.05  8041
0  711  -1  157.843  3156.86
0  711  0  8.76  175.2
1  711  -1  0.0593636  1.18727
-1  713  -1  0.108812  2.17623
-1  713  0  33.8919  677.838
0  713  0  16.8  336
-1  716  -1  9.53075  190.615
0  716  0  12.5141  250.282
-1  718  -1  8.81843  176.369
-1  718  0  17.6401  352.802
0  718  -1  21.4361  428.721
0  719  0  31.6074  632.149
-1  721  -1  19.3521  387.041
-1  723  -1  23.8057  476.114
0  723  -1  12.3066  246.132
0  723  0  32.2522  645.043
-1  724  -1  147.776  2955.52
0  724  -1  7.40797  148.159
-1  726  -1  19.4539  389.078
-1  726  0  11.6087  232.174
0  726  -1  85.7854  1715.71
0  726  0  58.3936  1167.87
-1  729  -1  20.8079  416.158
0  729  0  7.49097  149.819
-1  730  0  16.7695  335.389
0  730  -1  10.6862  213.724
0  730  0  32.7778  655.556
-1  732  -1  8.76  175.2
0  732  -1  26.5394  530.787
-1  738  -1  9.10197  182.039
-1  738  0  16.8  336
0  738  -1  11.5333  230.666
0  739  -1  8.98897  179.779
0  739  0  12.4325  248.65
-1  740  -1  29.0557  581.114
-1  740  0  50.8277  1016.55
0  740  -1  28.7847  575.693
0  740  0  126.944  2538.87
0  742  -1  23.7173  474.346
0  743  -1  14.7159  294.317
0  745  -1  36.5234  730.467
0  749  -1  24.8379  496.758
0  751  0  20.9788  419.577
-1  755  -1  8.79694  175.939
-1  755  0  36.5412  730.824
0  755  -1  16.8  336
-1  761  0  20.2274  404.549
0  761  0  32.2  644
-1  764  -1  7.10872  142.174
0  764  -2  30.8903  617.807
0  764  -1  167.807  3356.14
0  764  0  53.577  1071.54
1  764  -2  218.733  4374.67
1  764  -1  352.43  7048.59
1  764  0  103.01  2060.21
2  764  0  443.728  8874.55
1  765  -1  6.80497  136.099
0  766  0  32.9667  659.333
-1  767  -1  18.5652  371.303
0  768  -1  12.6752  253.503
0  768  0  8.40739  168.148
-1  771  -1  26.0696  521.392
0  775  -1  8.04649  160.93
0  775  0  12.4003  248.005
-1  777  -1  24.8761  497.522
-1  780  0  33.85  677.001
-1  781  -1  17.932  358.64
0  781  0  32.2  644
-1  783  -1  19.3414  386.827
0  785  -1  37.1637  743.275
-1  787  -1  46.6041  932.082
-1  787  0  7.71794  154.359
0  787  -1  0.999557  19.9911
0  788  -1  12.9555  259.11
0  790  -1  26.6477  532.955
-1  793  -1  9.42103  188.421
0  793  0  23.8283  476.566
0  794  0  15.2159  304.318
-1  796  -1  1.11403  22.2807
-1  796  0  2.04142  40.8283
0  796  0  7.35259  147.052
-1  797  0  22.6482  452.963
-1  798  -1  0.203852  4.07703
0  798  0  24.5793  491.586
-1  799  -1  43.1537  863.074
0  799  -1  1.31776  26.3553
-1  800  -1  8.47098  169.42
0  800  -1  13.7467  274.934
0  800  0  9.14791  182.958
-1  801  -1  13.1449  262.898
-1  801  0  0.0455771  0.911541
0  801  -1  0.798065  15.9613
0  802  0  23.0475  460.95
-1  803  -1  0.152895  3.0579
-1  803  0  49.0991  981.982
0  803  -1  11.8713  237.426
0  803  0  39.9533  799.066
-1  804  -1  24.3726  487.451
-1  804  0  2.52103  50.4206
0  804  -1  1.38817  27.7633
0  804  0  129.336  2586.72
-1  806  -2  14.7613  295.227
-1  806  -1  10.6759  213.518
0  806  -1  12.3243  246.485
